,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
AOI5 Saccade Lengths,23.691380340775115,134.03476150037895,35.18542933921936,190.1232185878793,88.7248754220097,17.021046459401138,53.09760248452593,38.78185060466792,27.73827899498109,115.09693735848381,72.74494743657453,37.46812507868028,1.437943681647627,341.9801729662695,24.87320290929677,72.81677707689441,16.648942887824152,94.80906546568461,61.49376036824617,53.923041346037586,58.6208352757558,25.98669177076613,19.249612685595825,17.308075446392003,12.246080183090786,58.13757143083493,38.6757349114304,9.861009915024718,49.21868231763295,37.26401979708027,78.97646817757065,59.481225536337206,58.04287956256096,92.75803144633139,71.59487639594894,50.645647393030764,18.975901585212448,176.54727527139895,186.40695343665993
AOI5 Absolute Saccade Angles,-39.68394915986232,-175.0983282208846,-72.64536124815852,1.8698662589799289,53.11051483421804,-42.11566503172323,-159.31066352347062,-165.38448445039847,-158.40511205866522,-12.760978036338695,42.38801493586971,42.556778125983406,60.77115183545282,-174.8011192116493,-122.24583474951174,35.46428603071789,-83.05695530454331,-28.14239121680851,19.931401587719392,-166.98225887912398,131.62675603709903,149.78786073908697,168.34731241431086,-93.51237356603059,-82.94502149986252,-3.6954676234101633,-106.55520531009334,160.30293050332622,93.37677086802951,157.72508708526013,-9.632259601085774,179.6048971828274,174.6296367497027,-40.44043706760924,-4.957338500471123,67.32716254039791,51.155679388686416,179.60230987689226,-11.918322579084291
AOI5 Relative Saccade Angles,44.58562093897771,77.54703302727391,105.48477249286157,128.75935142476192,84.77382013405875,62.80500150825262,173.9261790730721,173.02062760826672,34.35586597767349,124.85100702779158,179.83123680988632,161.7856262905306,55.572271047102106,127.44471553786246,22.289879219770352,61.47875866473881,125.08543591226521,131.9262071954721,6.91366046684334,118.60901491622299,161.83889529801206,161.4405483247761,81.85968598034142,169.43264793383193,100.75044612354765,77.14026231331684,86.85813581341955,113.07384036470327,115.65168378276941,12.642653313654128,9.237156783913159,175.02473956687533,35.07007381731193,144.51690143286189,107.71549895913098,163.8285168482885,51.55336951179414,11.520632455976571,
