,0,1,2,3,4,5,6,7,8
AOI5 Saccade Lengths,54.7819230174,64.43359019462177,31.588893755589822,24.04046298495027,15.01206800558608,54.9278175071251,89.01473616243265,65.85513361534366,71.0781503512736
AOI5 Absolute Saccade Angles,124.81308411944667,-59.12020495296004,87.06373987682177,-107.94449827307474,153.59116442800624,-34.193344517829026,160.20517206641802,22.511793128209305,-122.70703570054744
AOI5 Relative Saccade Angles,3.933289072406701,33.81605517021819,15.008238149896501,81.53566270108097,7.784508945835263,14.398516584247046,42.30662106179128,34.781171171243265,
