,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
AOI5 Saccade Lengths,31.848655936168093,37.7796602266064,45.48983687285937,59.664954937207746,184.42279701850367,151.64270409377943,120.42810637401786,106.96376449708079,38.40347549748089,79.2388017139661,9.698563521133178,111.41153289322835,308.00487435971843,112.87750063980691,198.38391523172388,111.98784101484306,81.60359529629838,74.05948729072932,73.83178125345343,83.53379951729119,89.956664925258,99.07111346816512,52.04151013290464,74.67907728761013,52.41096477236715,78.0628223216052,47.573807740430226,8.269177957986171,67.41367057043892,81.50336603846745,41.38266236811786,81.99568300997693,56.91280518207034,60.47258743378497,29.327425282924413,18.35965095289324,126.17855532512232,42.854904833192705,38.01588879544939,60.63663449237977,38.014062336769754,92.59326322940927,144.88880879328352,100.04134438766833,101.17700429852772,487.9821453786217,342.0478158233591
AOI5 Absolute Saccade Angles,96.4641986917495,-135.88859637841387,66.6175862759074,-35.96513705255685,-7.457884264575312,161.5787068921118,177.77159211133466,166.05325841309602,-53.9037747416414,3.772982421158698,46.42095301659403,-10.782920220482,4.062380728215822,-28.576624911305608,157.99476913489943,-135.78497895349878,176.8808982971087,158.3011221126507,143.27286403358414,-159.3958401536628,160.1730204385556,-35.569367478869154,-172.59833526582358,0.4501954104678249,-163.32797046528398,39.561112434950054,-128.1643812473511,-15.297721748416773,143.2293070872752,11.317311628385667,172.04395465767234,-141.59132997387664,85.26177750371872,-39.09099684692831,-48.99394511181323,-137.78627207753928,18.42773736314861,-106.45342117836479,167.26106035060678,-165.67829657907808,27.751127739115393,136.17733359188676,-20.511597925030067,-3.639934264951818,-6.171103866669717,173.02405944587977,-3.7701273531893165
AOI5 Relative Saccade Angles,52.35279507016335,22.506182654321265,77.41727667153576,151.49274721201846,10.963408843312912,163.8071147807771,168.28166630176133,39.957033154737395,122.3232428371999,137.3520294045647,122.796126762924,165.15469905130217,147.36099436047857,6.571394046205046,113.7797480883982,132.66587725060745,161.42022381554196,164.97174192093348,122.66870418724695,139.56886059221839,15.742387917424741,42.971032213045596,6.951469323708624,16.221834124248215,22.889082900234012,12.27450631769887,67.1333405010657,21.472971164308053,48.08800454111049,19.273356970713355,133.63528463154896,46.85310747759536,55.64722564935297,170.09705173511506,91.20767303427397,23.78599055931212,55.11884145848659,93.71448152897156,152.93935692968483,13.429424318193453,71.57379414722863,23.311068483083172,163.12833633992176,177.4688303982821,0.8048366874505255,3.205813200930926,
