,0,1,2,3,4,5,6
AOI1 Saccade Lengths,337.8846631576856,24.29942206716682,94.35824626170727,52.93988724792176,78.96878167701152,63.13336273609082,67.88706893348544
AOI1 Absolute Saccade Angles,173.92834394541478,140.09286695702633,4.2199883752527185,-95.73723069591634,177.10284554976735,139.99682226303713,-86.35411589019353
AOI1 Relative Saccade Angles,146.16452301161158,44.127121418226395,80.04278092883094,92.84007624568369,142.89397671326978,46.350938153230665,
