,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
AOI2 Saccade Lengths,188.18489976096515,25.232456087230574,61.224160909263716,10.044337696364263,273.11373367095536,317.23602905349617,81.58925568818593,88.8179510340668,249.34870416040175,60.37374105006408,183.80646711248224,121.0435801148287,137.75549686523806,64.09513299842385,60.384738710570076,86.96735833789508,107.93881978680409,53.72369728488699,58.275038091266914,30.948572849818408,65.81541964887897,145.35897540883673,239.5882233047235,77.87023527118438,181.79048645857085,119.50450072631156,46.378906642805205,361.01109208669953,64.86048727260848,60.697486048635625,46.50394552389631,192.74002269363885,37.631490717257854,52.16742670924867,26.92886885726778,50.85197022836905,61.86500856552095,126.97962460353564,183.0575368770789,27.35408882526376,90.41434323270535,99.93881886061709,97.41730621000656,111.20660151377537,197.40237994560684,151.4201084044096,155.38688862519777,349.32268870458387,36.09401093829398,39.61492661912387,85.3994281873613,263.50089226009266,57.557830623653615,128.76286014896593,120.34833501357252,93.2675065901902,73.41994656071736,206.38162976920376,58.63022151781905,146.29269532729148,19.461347983419664,22.540862900847042,128.43924492704323,50.717648364457915,20.74309172436671,60.216684175312665,38.68682042061952,61.63790753765019,92.23518944362235,102.26637151194146,96.53878281333637,92.23122884739506,61.30809341763097,29.783368971385386,77.69918131515438,170.40576055512753,85.49171626217279,89.51766097408193,64.87669240005116,143.0021273787198,58.725952718229806,114.82714974540526,39.37052484829402,60.10258554920981,188.84320728664596,53.84788500912051,199.3093313521317,49.28675983531413,34.71419312833075,25.79241780554953,130.24840768511993,19.777178964707964,69.90680183400802,50.75204815667373,26.860544522301083,51.990227593782606,67.4944344296377,110.96885813114108,37.14480557911939,19.875778857725948,27.5771252498667,20.4220079058301,43.10454400866066,15.409070572119482,52.697102392077305,144.62969723263805,30.858508385331742,42.00233438765218,111.12586423862022,368.5432291850815,43.17452605366642,49.44491866735516,165.91659849672172,82.37551215697391,160.4487554930813,70.28756899226236,22.45768603522776,122.71546807080166,140.11056883993177,17.879616132386147,9.373928779257211,29.48185645752795,76.6716075985714,77.12197860907133,112.08919170243294,72.77679933948687,70.15612118546912
AOI2 Absolute Saccade Angles,-9.562666301688322,161.9005651662827,100.77232837882245,-8.038284788826056,-172.95909497194847,4.69423501097295,-29.320770148411636,-175.90906969971792,167.98452802732305,-144.21570816656518,13.316608396216047,-30.60087918041598,161.86093926799515,0.304915622384278,-118.92531135296116,123.29105701920614,-6.923201649560614,-167.499152902855,-149.1396101727357,-136.21595313733133,-176.20142254951148,1.5270023030039075,170.97492931299735,26.384991510772345,-3.735691829014704,-0.9023452824901482,11.278953281147517,-179.1031853676494,-88.03011876930536,13.6614040217586,117.25174395167795,7.235656902612292,-85.12177933125446,147.732249594404,-23.373633174036705,-88.68160860019351,118.63641020607264,173.78957545908352,-15.541419506558634,-69.35657326781606,46.514757396447365,-148.8341017032566,168.4027827176157,-3.779324108976952,169.27876586002108,177.0898379870279,-18.58245361014077,3.77174674952917,148.429302258335,-37.82597112728675,177.21343694071416,174.0987356571062,-19.12764101441186,178.25636134142633,9.729090112324222,-48.0876508569599,7.584406017518923,177.79181056807363,59.48091634344781,-14.899661795146422,178.03288642217044,64.93905865892073,-166.2437929762854,93.34006379518915,-25.509700148447106,5.240144859591172,-125.64757177979777,30.888826355105152,-27.272169386119955,155.85446568943195,-177.84758184856827,-175.28706632431323,-30.694174684316334,39.46332451195784,-163.73383947050607,0.936755300619268,28.387909585345763,-0.24401832758572162,-129.24669355805165,-1.4561546377731778,140.24977748881005,-178.21984181263613,-93.2297188916369,70.7914230667545,-159.2794683507075,139.33978562449914,2.1024505205997737,-121.71807413175158,143.19317824068924,-50.465734197215895,-177.77026565449356,76.96058243117996,4.859232174320543,171.7734689363298,20.498351826275943,-59.214643160439316,1.5807124039362612,142.64575795863436,-59.711283665716124,116.98320998293859,163.31292376955162,13.2074580849776,17.75551337971458,-65.9556594743233,-124.73688677272575,174.2804215319036,-57.709980575535106,140.96089723291027,156.402264094325,-2.5861154011101566,-117.32079642081347,148.43551798018794,174.1473223963847,-154.3661434401476,5.42927503494207,-29.832387630255976,-5.4161381078060655,161.69099191845456,168.49245984911497,-79.33121259659308,-22.150079793809596,-67.05184567635314,8.903240231512916,-34.05315703091246,6.657754323328612,72.12856279478751,-179.05987984407193
AOI2 Relative Saccade Angles,8.536768532028988,118.87176321253976,71.18938683235147,15.079189816877609,2.346670017078602,145.98499484061543,33.41170044869373,163.89359772704094,132.20023619388823,22.46768343721879,136.08251242336794,12.461818448411126,18.44397635438913,60.76977302465457,62.2163683721673,49.78574133123325,19.424048746705616,161.6404572698807,167.07634296459563,140.01453058781982,2.2715751474846164,10.552072990006577,35.410062197775005,149.87931666021294,177.16665345347542,167.81870143636232,10.382138648796914,88.92693340165596,78.30847720893604,76.40966007008066,69.98391295093435,87.64256376613325,52.85402892565848,8.894117231559276,114.69202457384318,27.318018806266167,124.84683474698912,9.330994965642159,126.18484623874258,64.12866933573657,15.348859099703962,137.23688442087231,7.817893173407328,6.941910031001965,172.1889278729932,15.67229159716865,157.64579964033007,35.34244449119418,6.255273385621744,35.03940806800088,176.88529871639204,13.226376671518041,17.38400235583819,11.472728770897893,122.18325903071586,124.32794312552116,9.79259544944529,61.68910577537417,105.61942186140574,12.932548217316864,66.9061722367503,51.18285163520611,79.58385677147454,61.15023605636374,149.25015499196172,49.11228336061106,23.46360186509709,121.83900425877488,3.126635075551893,153.70204753800022,177.43948447574496,35.4071083600031,109.84250080372584,23.19716398246391,15.329405228874663,152.5488457152735,151.3680720870685,50.99732476953409,52.20946107972154,38.29406787341677,138.4696193014462,95.00987707900076,15.9788580416086,50.07089141746201,118.61925397520665,42.76266489610064,56.179475347648655,84.91125237244081,13.658912437905125,52.69546854272234,74.73084808567351,107.89864974314058,13.085763237990744,28.724882889946144,100.28700501328476,119.20464443562443,38.934954445301884,22.357041624350497,3.305506351345292,133.67028621338696,29.894534315425993,175.451944705263,96.28882714596214,121.21877270159754,119.01730830462935,51.99040210743869,18.670877808445397,164.55863313858526,21.01162050456483,65.26531898029671,85.75631440100139,154.2881955838032,148.5134658365323,20.204581524910335,144.73833733480197,155.5837504775501,12.892869973739407,173.19853206933956,67.82367244570803,122.81886719721652,135.09823411745643,104.04491409213395,137.04360273757462,139.2890886457589,114.52919152854112,71.18844263885943,
