,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
AOI3 Saccade Lengths,311.21340876770887,216.43640128136468,95.76657261881594,77.17753648569922,100.92659351670133,62.46378127785085,224.20027679905346,124.17763844928152,36.70726371113086,31.647670178487793,112.9230408390885,34.19717572995645,51.68543478091252,110.66269732234065,137.67217238046877,205.32137452763564,125.7921461098952,189.355863947947,37.10205799163135,214.04773624699698,54.22159361321417,43.527198513133946,58.26529941561408,76.21530459274881,79.67953103412526,109.16644435466674,57.85948955233802,85.9653813429148,71.14136327941907,46.846702362611204,43.237296208394554,13.995484734490255,32.02284836259335,53.47615499506952,19.863703842761417,23.39229314435776,111.34343223598749,212.55105954764673,15.557474124913375,157.95714400906624,107.40617276153334,137.3014411904595,40.081563911104496,131.99263213161615,94.2671025294418,45.577338271398546,56.506032430156345,95.81279507440397,140.15945111431358,133.75811027528817,68.20867821776872,66.11624074332055,73.69420620267655,73.27037572464754,36.23704326144168,46.11817965246393,142.2197339244454,167.79265569653958,252.2698291321446,184.13480828494588,86.08832027484615,270.61374083488795,311.1808035165113,211.74776407022142,179.0979723437049,27.323835581993087,183.1085735761586,144.46932032815934,83.14865882885915,109.54598954627619,18.80863826168216,71.9239356536406,72.76089740392933,45.42738722883473,3.215974381462202,145.29189861752732,53.00897436105084,74.1873026014182,92.48810286816047,39.33790852571163,100.9317890257722,95.13735663794935,337.32155932679285,65.65045714396966,61.19170837198521,213.11695745183786,30.952679653075766,51.999870437942356,59.7130866173406,99.21967969973849,93.14131235099602,338.324376949784,38.85894647386682,36.07780177201032,100.15846979430502,38.835675800863875,43.18538014784093,155.34121351404983,78.66539581482846,34.214307540748194,124.40397443541372,59.328016321966786,14.16444161191906,41.183464818446154,61.18691229671835,74.77889044817806,160.20861563812318,83.40652361818726,19.803357989129648,87.36950728725762,92.09652461783531,46.15913254071415,113.2454820046569,55.47610429605354,77.14340377281461
AOI3 Absolute Saccade Angles,-176.52370567535976,3.136916879516366,157.09400174947106,-113.16944104527617,7.17933737119248,44.28995667644468,-169.1064141154383,21.935352530294185,-9.15689073983633,-13.609987052534102,-21.83003890285175,129.322434668389,137.4716358019726,-162.10735504460249,174.27944422221023,-9.935505892707619,161.85201293243077,0.41174580819860584,-134.76069631934917,174.32342958788152,23.359482216976016,-25.59916270532954,10.934185620089616,-122.72045695886445,18.989357148497852,-171.56660597887222,53.42972601632331,-21.403514826036346,-165.79265256348148,146.16639546925876,-19.630650685930704,-104.7990689676334,176.62123883168888,-5.100795502525792,-11.457985287369036,103.94905295229297,0.18601174756962902,164.32062420483302,-147.34621505650532,-1.9606326921907034,-35.20533727729686,174.50082911869,13.583088184764852,176.3118523320965,15.613143069958877,178.38693976434126,-81.38721416390382,18.439047028498816,-14.211651486518257,162.12465559053493,160.02295735379823,-70.10739477724705,14.04793512844415,-163.80203504221132,168.4021696407995,109.44725795302709,-14.094680695178083,-176.71882412359992,12.492958770182724,-164.0803779270812,25.386846762150782,-173.0049238621803,1.5650097548630717,-175.02032100675066,-1.9236922228303537,-178.3527016288549,177.43403564143026,27.53351987165604,-141.9634017126877,-178.63916970768318,149.6115819302084,-18.14363486163867,27.381198815706238,-53.12966059356088,-175.8767792613493,170.69468367510288,12.767838652937687,20.17384398926067,-139.7163106145802,168.47739996949406,160.35809826976646,-8.123224816575952,4.835973452923734,171.52805858174375,-34.097798670036205,178.2850172596563,46.62268374738599,-7.61059414383356,-162.33859666628982,-2.948361568642405,-23.803134704325174,174.67193818866897,163.11420531520938,-30.484913022585516,-173.28141405238858,-4.006183568021413,49.91417408760521,-16.682983978849506,154.36632398845137,-69.53987277089425,172.53032622284022,-173.51238889222032,52.0907040251538,59.28191827764291,-174.36125241529092,-31.72458300631274,8.818605403388815,26.60182788077231,-59.50981964005052,-140.78632266025645,148.00380510033725,148.5541307695731,-11.046880064154957,-64.87027424969438,67.04631937053979
AOI3 Relative Saccade Angles,0.3393774451238584,26.042915130045298,90.26344279474723,59.65122158353136,142.88938069474779,33.396370791882994,11.041766645732487,148.90775672986948,175.54690368730223,171.77994814968235,28.84752642875924,171.85079886641643,119.57899084657511,156.38679926681274,4.214950114917874,8.212481174861606,18.55973287576783,44.827557872452246,129.08412590723063,29.036052629094502,131.04135507769442,143.46665167458085,46.34535742104597,38.29018589263773,10.555963127370044,44.9963319951955,105.16675915764037,35.610862262554875,131.9590480327402,14.202953844810551,94.83158171829731,101.42030779932227,1.7220343342146691,173.64281021515674,64.59296176033797,76.23695879527665,15.865387542736645,131.6668392613383,34.61441763568539,146.75529541489385,29.70616639598686,19.08225906607485,17.271235852668358,19.30129073786238,17.22620330561765,79.77415392824504,80.17373880759736,147.34930148498296,3.663692922946822,177.8983017632633,50.13035213104527,95.84467009430881,2.1500298293445677,152.20420468301077,121.04508831222759,56.45806135179484,17.37585657157817,9.211782893782638,3.426663302736048,9.46722468923201,18.391770624331063,5.430066382956648,3.414669238386282,6.903371216079707,3.5709905939754445,175.78673727028522,30.099484230225766,10.50307841565628,143.3242320050045,148.25075163789157,12.244783208152944,134.47516632265507,99.4891405907329,57.2528813322116,166.57146293645212,22.07315497783483,172.59399466367705,20.109845396159113,128.19371058407427,171.88069830027243,11.518676913657593,167.0408017305003,13.307914871179987,25.625857251779948,32.3828159296925,48.3376664877297,125.76672210878044,25.271997477543735,20.609764902352584,159.14522686431724,18.47507289299411,168.44226712654046,13.59911833779491,37.203498970196954,10.724769515632842,126.07964234437337,113.40284193354528,8.950692032699115,43.90619675934562,62.07019899373447,166.0427151150605,45.60309291737407,172.8087857475109,53.643170692933815,37.363330591021835,139.45681159029843,162.21677752261652,93.88835247917717,98.72349697979408,108.79012776059369,179.44967433076417,20.398989166271935,126.17660581446057,48.08340637976583,
