,0,1,2,3,4,5,6,7,8,9,10,11
AOI5 Saccade Lengths,113.55068254611717,258.7980817776923,21.71190639439524,5.742173958364932,3.8081576604028773,8.446032282157006,9.831811690513485,165.27356685247747,37.26807898084684,101.9293224737621,67.33696989187277,85.828945624858
AOI5 Absolute Saccade Angles,-147.17846774813387,179.46205641197852,49.70258646808526,45.63412486837725,-121.62891580613768,-126.31516514687235,-127.30344191248179,166.9554378796449,-164.2210438535988,-13.66431754033986,-9.428379544039762,172.27496290711875
AOI5 Relative Saccade Angles,146.6405241601124,50.24053005610674,175.93153840029194,12.736959325485072,175.31375065926534,179.01172323439053,114.25887979212668,151.17648173324366,29.44327368674108,175.7640620036999,1.7033424511584676,
