Page,Result ID,Result Number,Relevance,Query Language
1,889,0,0,Spanish
1,890,1,0,Spanish
1,891,2,0,Spanish
1,2630,3,0,Spanish
1,2631,4,0,Spanish
1,2632,5,0,Spanish
2,919,0,1,English
2,920,1,0,English
2,921,2,1,English
2,922,3,0,English
2,923,4,0,English
2,924,5,0,English
3,2602,0,0,Spanish
3,2603,1,0,Spanish
3,2604,2,0,Spanish
3,861,3,0,Spanish
3,862,4,0,Spanish
3,863,5,0,Spanish
4,948,0,0,English
4,2688,1,0,English
4,949,2,0,English
4,950,4,0,English
4,2689,3,0,English
4,2690,5,0,English
5,2574,0,0,Spanish
5,2575,1,0,Spanish
5,2576,2,0,Spanish
5,2577,3,0,Spanish
5,2578,4,0,Spanish
5,2579,5,0,Spanish
6,978,0,1,English
6,979,1,0,English
6,980,2,1,English
6,2717,3,0,English
6,2718,4,0,English
6,2719,5,0,English
7,801,0,0,Spanish
7,802,1,1,Spanish
7,803,2,0,Spanish
7,804,3,0,Spanish
7,805,4,1,Spanish
7,806,5,0,Spanish
8,2746,0,0,English
8,2747,1,0,English
8,2748,2,0,English
8,1007,3,0,English
8,1008,4,0,English
8,1009,5,0,English
9,771,0,0,Spanish
9,2518,1,0,Spanish
9,772,2,0,Spanish
9,2519,3,0,Spanish
9,773,4,0,Spanish
9,2520,5,1,Spanish
10,2776,0,0,English
10,2777,1,0,English
10,2779,3,0,English
10,2778,2,0,English
10,2780,4,0,English
10,2781,5,0,English
11,742,0,0,Spanish
11,743,1,0,Spanish
11,744,2,0,Spanish
11,2489,3,0,Spanish
11,2490,4,0,Spanish
11,2491,5,0,Spanish
12,1065,0,0,English
12,1066,1,0,English
12,1067,2,0,English
12,1068,3,0,English
12,1069,4,0,English
12,1070,5,0,English
13,2461,0,1,Spanish
13,2462,1,0,Spanish
13,2463,2,0,Spanish
13,712,3,0,Spanish
13,713,4,0,Spanish
13,714,5,0,Spanish
14,1095,0,0,English
14,2833,1,0,English
14,1096,2,0,English
14,2834,3,0,English
14,1097,4,1,English
14,2835,5,0,English
15,2433,0,0,Spanish
15,2434,1,0,Spanish
15,2435,2,0,Spanish
15,2436,3,0,Spanish
15,2437,4,0,Spanish
15,2438,5,0,Spanish
16,1124,0,0,English
16,1125,1,0,English
16,1126,2,0,English
16,2860,3,0,English
16,2861,4,0,English
16,2862,5,0,English
17,654,0,0,Spanish
17,655,1,0,Spanish
17,656,2,0,Spanish
17,657,3,0,Spanish
17,658,4,0,Spanish
17,659,5,0,Spanish
18,2889,0,0,English
18,2890,1,0,English
18,2891,2,0,English
18,1153,3,0,English
18,1154,4,1,English
18,1155,5,0,English
19,624,0,0,Spanish
19,2376,1,1,Spanish
19,625,2,0,Spanish
19,2377,3,1,Spanish
19,626,4,1,Spanish
19,2378,5,1,Spanish
20,2918,0,0,English
20,2919,1,0,English
20,2920,2,0,English
20,2921,3,0,English
20,2922,4,0,English
20,2923,5,0,English
21,594,0,0,Spanish
21,595,1,0,Spanish
21,596,2,0,Spanish
21,2347,3,0,Spanish
21,2348,4,0,Spanish
21,2349,5,0,Spanish
22,1213,0,1,English
22,1214,1,1,English
22,1215,2,1,English
22,1216,3,1,English
22,1217,4,1,English
22,1218,5,1,English
23,2318,0,1,Spanish
23,2319,1,1,Spanish
23,2320,2,1,Spanish
23,564,3,0,Spanish
23,565,4,0,Spanish
23,566,5,0,Spanish
24,1243,0,1,English
24,2976,1,0,English
24,1244,2,1,English
24,2977,3,0,English
24,1245,4,1,English
24,2978,5,0,English
25,2289,0,0,Spanish
25,2290,1,0,Spanish
25,2291,2,0,Spanish
25,2292,3,0,Spanish
25,2293,4,0,Spanish
25,2294,5,0,Spanish
26,1271,0,1,English
26,1272,1,1,English
26,1273,2,1,English
26,3003,3,0,English
26,3004,4,0,English
26,3005,5,0,English
27,506,0,0,Spanish
27,507,1,0,Spanish
27,508,2,0,Spanish
27,509,3,0,Spanish
27,510,4,0,Spanish
27,511,5,0,Spanish
28,3033,0,0,English
28,3034,1,0,English
28,3035,2,0,English
28,1300,3,1,English
28,1301,4,1,English
28,1302,5,1,English
29,477,0,0,Spanish
29,2231,1,0,Spanish
29,478,2,0,Spanish
29,2232,3,0,Spanish
29,479,4,0,Spanish
29,2233,5,0,Spanish
30,1772,1,0,English
30,1771,0,0,English
30,1773,2,0,English
30,1774,3,0,English
30,1775,4,0,English
30,1776,5,0,English
