,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
AOI5 Saccade Lengths,19.86033538863025,73.08498865220328,25.885754779032773,158.03059216677678,108.50097196442988,66.55396133141068,99.5484031740542,88.68789365874467,35.442138632693755,294.86426333088366,87.42327787414173,155.67725002401315,37.566190627680385,183.35219784528113,258.13075252077863,321.97301942396905,390.917634928992,444.77087560349526,352.1687920393022,434.0006209310735,84.13364071399481,138.87587282228003,52.52043698525973,59.8233398749467,367.623515184734,130.05875600580273,242.6525368557967,44.11273953580265,492.3007858996881,88.35412170735597,114.58649361449137,253.8478688456594,91.62828032880111,385.08508922552613,545.0646935114335,363.77055400103825,60.544973160739765,72.69461815166582,453.3198125517723,53.222107957526816,263.75802692381905,285.56108635053647,662.7494176796004,334.69010873691934,591.8628667765547,287.9068695288093,87.76758193141461,108.76659726279767,271.37446282861697,250.99918330191204,363.7759360937912,89.76246671087561,380.07934844143233,245.7918990196041,278.11822907118665,312.4583542213309,75.84959815821581,398.6007879092048,137.9844299507753,48.40161391484011,137.25906034086967,44.33844320289856,57.67110465911222,101.34460413897492,469.77081610731926,334.65160189372267,79.44647718301279,80.62148013153619,317.5085181020967,409.1851824337356,513.896535410927,86.97421137189691,111.24118473570259,90.65425992807742,93.57507754597091,200.60015040681367
AOI5 Absolute Saccade Angles,92.59727749070561,1.6343862712956614,-78.66031011096673,9.480243055720285,10.332502541845344,-27.200166102254375,34.809695856829315,-153.09754729866785,140.17528529330443,-173.79468649355212,-1.7587560963068618,14.018953609221395,-128.45734094734982,172.16108005901262,-11.577043366993244,175.4831886480869,-2.284905498597313,-178.63398369240383,8.780683324728841,-176.61127574855377,169.71979191621838,-8.67100564212339,-22.522798126179406,-3.9016193519066342,2.0720877916554463,163.22013368899144,-175.26266161618472,15.13087919451276,1.2307512192004122,-165.50326498992504,-164.22888080449738,171.86295807474096,-17.700924322504807,-177.46458235398234,1.1606020520717806,177.93354584569073,138.96545633571918,-176.98433808683856,-1.0692912714574911,1.7194236016942106,-179.93496852082808,177.3589563388961,-4.757932239731022,169.8118531518584,-176.8638352606365,-3.254637577600071,7.179611595081103,177.80442882379398,174.2091147000584,-4.296621885205351,-3.1341977995837382,17.620008797044292,-172.2804671344093,13.035002208549908,-10.903152502956766,177.09685537897568,-8.445080337913268,171.88595077772487,-24.865335319390688,177.5883336173417,178.48384208009003,76.64824597036488,-131.59670613598715,161.09997950050007,1.0136329023142514,176.51843305344107,-147.314411138082,154.46498651627613,2.074800543163792,0.013426183215602643,-178.92521585607915,-162.38936167547544,-178.89094581504025,-10.317374949688203,-4.1747583185166315,-3.2934630192228918
AOI5 Relative Saccade Angles,89.03710878059005,99.70530361773761,91.85944683331297,179.14774051387494,142.46733135590028,117.99013804091632,7.907243155497178,113.27283259197229,133.96997178685658,7.964069602754727,164.22229029447178,37.523705443428774,120.61842100636242,3.738123426005849,7.060232015080125,2.231905853315805,3.650921806193501,7.414667017132652,5.39195907328261,166.33106766477215,1.6092024416582094,166.14820751594397,161.3788212257272,174.02629285643795,18.851954102664013,158.48279530517618,10.393540810697491,166.09987202468767,13.265983790874518,178.72561581457234,156.09183887923834,9.563882397245749,20.23634196852247,1.3748155939458842,3.2270562063810533,141.03191049002842,135.94979442255772,4.0849531846189295,177.2112851268483,1.654392122522282,177.29392485972414,2.1168885786271225,5.430214608410547,166.6756884124949,6.39080231696357,169.56575082731882,9.375182771287147,176.40468587626447,1.4942634147362328,178.8375759143784,159.24579340337198,9.900475931453565,5.315469342959184,156.06184528849334,8.000007881932415,5.5419357168889185,0.3310311156381547,16.75128609711557,22.453668936732402,179.1044915372517,78.16440389027485,28.244952106352024,112.69668563648723,19.913653401814187,4.495199848873188,143.83284419152304,121.7793976543581,27.60981402688767,177.9386256400518,1.0613579607052612,163.46414581939626,163.4984158604352,11.426429134647984,173.8573833688284,179.11870470070627,
