,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
AOI2 Saccade Lengths,84.73130549759159,686.402864955088,432.0181946848625,138.36097920857324,752.294869795583,510.8921355041632,72.13003980149917,21.532945188900463,29.684197155324455,89.36938922815243,266.9289196211607,467.0585559349843,38.93980521854174,189.55267643372073,210.65992401879518,110.29580198810193,88.40359408755151,161.6074442971071,118.77362719905487,88.15760866999375,183.86579075616106,436.45680992697424,206.66441220635812,145.32626648640874,36.204874511832074,37.20902740258128,128.7706241763834,109.20817132381904,116.64880710723527,422.09496704909486,115.1951583633151,271.3487601299629,211.79149854738745,72.42286724691057,266.94598254498374,736.0000238939057,406.72041686220007,112.85192695517513,108.72203311631401,70.94926978473333,19.98852881583996,151.8272572118069,300.40308547935075,137.20764821446824,85.55488515615937,54.408373359409865,140.3613159866742,82.34185999764163,115.75351438600808,351.7837298829915,352.87909073209704,17.021453505633076,298.8940453735365,197.48694878794043,104.91084136155953,49.3125000846999,23.625659185561414,110.62242997273277,190.07297987247532,252.64249465419527,309.1049256816529,314.2709455669455,171.50634783795007,51.78139085751077,186.7493913658661,228.66628910667492,91.44333778014213,127.07516878231172,396.69958554335483,93.3603439880783,211.95123737060692,61.66626384724699,22.008040723628397,122.9171915765138,77.42364507482165,145.83475445336637,126.47428857619494,58.46555006250134,415.1897121719218,386.21850316957006,66.99431152222935,111.487940306079,45.05672041903723,344.3073926091334,275.66565869042176,287.2044754891263,82.97805783867177,61.61958758858095,201.3599262751069,42.46745019887625,118.51079628143772,384.0434452580729,80.24141243399177
AOI2 Absolute Saccade Angles,148.9054091521804,-5.606929997395055,170.90178829328798,-19.31131845063474,176.87845330679315,0.3979675943360816,-110.56422672284522,116.856005998232,-151.6649836311792,142.01124494090908,-13.8030456484407,173.94055901510595,-153.8366484560986,4.113068786443532,172.61264201920045,-3.033619031003667,-23.74972285985146,-8.43713622442607,-3.4357849808725205,171.15749724262977,18.832420248092898,179.63579459543027,1.7406357636378833,-14.79552548980839,55.5249713221595,-164.24229747656983,171.91618467610957,-6.428745405615882,-12.721240840484677,175.0242499890957,-173.13111771318762,-10.391024164365753,167.4821250035045,0.9030694271122935,-175.06096910421135,-1.7360351837105814,175.65537746922382,-5.992058881190835,-170.86216084009027,34.02489860081069,-25.429528698208753,-167.28599476597745,0.2101848214329646,168.03205725905477,157.469725690624,-122.79896587897743,164.53857531970436,-14.685877140325497,-15.191598871480943,6.19752020116612,178.74151082035894,-92.41945247002664,-1.9594585577631736,174.09406595330717,173.1526743406677,-164.475650652123,121.01336093469091,-146.74180429002166,174.59936436560707,-1.7869668077311553,9.271414829719834,-178.75090631929947,-175.8257187001196,-149.49505332693303,7.322000031360677,-12.363017688592167,13.532519642753462,158.78098153339064,-173.76211745008177,-11.284853216929667,-4.249067689663134,44.52358695369569,154.46717431941642,171.54153183265467,179.98743336322661,-7.4189052559955995,-4.957714760881242,-135.5495254240205,6.9773284603359516,-174.7966296248742,97.87332858911843,-145.09111775766587,128.9611437318282,3.8844954281260873,-179.18723771340242,-177.15717018169534,-174.4906042964321,14.177222412538555,-16.83075804784674,100.4259508171558,-9.19868075105088,6.176699869759307,-133.02450908940594
AOI2 Relative Saccade Angles,25.48766085042456,3.4912817093169863,10.213106743922697,16.189771757427874,3.51951428754295,69.03780568281871,47.420232721077205,88.5209896294112,113.67622857208826,24.18570941065022,7.74360466354664,147.77720747120455,22.050282757457868,11.500426767243066,4.3537389497958685,159.2838961711522,164.6874133645746,174.99864875644644,5.406717776497738,27.674923005463153,19.19662565266262,2.104841168207609,163.46383874655373,109.67950318803213,39.76726879872933,156.15848215267937,1.6550699182745634,173.70750456513122,7.745490829580376,168.15536770228334,17.25990645117811,2.1268508321297217,13.420944423607768,4.035961468676364,6.675066079499239,2.608587347065609,1.6474363504146454,15.129898041100569,24.887059440900956,120.54557270098054,38.14353393223134,12.503820412589624,12.178127562378222,169.43766843156925,100.26869156960142,107.33754119868176,0.7755475399701658,179.49427826884457,158.61088092735292,7.456009380807195,91.16096329038557,89.54000608773654,3.94647548892966,179.05860838736052,157.62832499279068,105.48901158681389,87.75516522471251,141.3411686556287,3.6136688266617822,168.941618362549,8.022321149019312,177.07481238082016,153.6693346268134,23.182946641706295,160.31498228004716,154.10446266865438,34.75153810936283,152.5430989834724,17.52273576684792,172.9642144727335,131.2273453566412,70.05641263427928,162.92564248676172,171.55409846942806,7.40633861922222,177.53880950488565,49.40818933686077,37.47314611564358,1.7739580852101517,92.66995821399266,62.96444634678432,94.05226148949409,54.923351696297885,3.0717331415285414,177.9699324682929,177.33343411473675,8.667826708970644,148.99201953961472,62.74329113499747,70.37536843179335,164.6246193791898,40.79879104083475,
