,Mean,Standard Deviation
NOT_AOI Saccade Length,110.15290096305381,115.89692191432171
NOT_AOI Absolute Saccade Angles,-5.26340259979978,97.21333500649246
NOT_AOI Relative Saccade Angles,140.21927762540759,54.018634561474414
