,0,1,2
AOI1 Saccade Lengths,918.0701311092421,277.420122729901,63.77779185023947
AOI1 Absolute Saccade Angles,178.94175405527,-7.016072687516332,167.19301858713166
AOI1 Relative Saccade Angles,5.957826742786316,5.790908725352018,
