,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
NOT_AOI Saccade Lengths,17.853669873405813,61.630055402235115,186.0061461984782,120.58076671973929,67.47020409658444,8.173070677266914,54.364849867548344,123.15446722839029,94.25580470568939,143.42600882334065,82.0527633863497,74.36566049290009,22.455390883140165,193.177155064606,41.223252680758975,48.75719692101048,11.73402249394658,71.51287809785582,141.27249601511312,18.376476126738453,121.32155229524136,38.526950889236666,86.70550104898103,91.71515907907774,49.0803848109556,37.31408090845062,26.321674755667527,105.95829490916347,183.00668359795455,81.13014969002964,167.327532328456,77.65269991917135,17.97042849631549,180.85773269086525,197.84661835604527,105.66521740406084,52.260835422967375,123.2975905206922,114.78407838900607,146.09875013318245,72.82923150315474,66.04933508154912,78.78541304513845,68.53944917505339,21.423449741015695,98.2620731493842,85.2279300174009,173.22852770942575,134.89633911673272,116.7920897637793,131.74501262142545,224.16320810451123,83.48935034699922,37.06404899398974,43.54191422443929,82.8700717679259,83.77143349261874,141.62775058833762,155.08495967804527,36.32853528483672,24.44989248579257,59.86364809328055,110.58288564906803,73.31621113789362,9.325445286073268,93.0394142969206,16.628214941020694,80.72127434883896,123.52669126414601,28.142047362185664,35.23607563838795,133.10115111445884,13.574540924424317,76.42740970706933,21.60702189463823,37.38552855447814,49.02677477009606,139.3541759421846,12.993150816131534,73.08934894620889,52.32906741434944,14.339779258625057,106.93727924013889,106.03718068688723,133.9651678048059,144.846849476348,87.12704447052587,85.14839498827534,63.952283827278876,77.68197187264512,94.30837782720624,121.10476066280695,77.4028001768073,72.89900308934462,59.22882516842938
NOT_AOI Absolute Saccade Angles,40.81543399957796,-14.43286668430137,29.533200765270504,-76.51331212134276,18.536653453191136,86.40805244902468,-151.213844182036,-106.54225620421018,-117.15745246785586,-152.17570150540087,-21.014984395676827,-147.49640090674106,134.33975054801098,29.046853273398614,153.6951634849459,76.3035304485992,48.688837017486634,-136.07908661041222,169.03565562705288,14.068752319846181,144.56005213516792,-125.3705645632743,122.18824876598003,-84.78594081693863,-155.23678812271785,166.8163435787706,148.47133575667743,68.99079684580072,14.773239762108778,-9.45911354494855,-81.16333926825244,179.64294292572225,55.240022316944405,51.835184831365986,176.91715681621517,1.4693049812431542,-46.943777394973004,-19.883256010192607,18.89453888484853,17.03142611668913,-53.58007211603768,-127.25088331145396,172.54942475517674,39.693858665508216,81.5936382061924,57.14225313484213,3.4033207636751315,-179.4459752434052,-137.59642626645174,177.49622587882644,171.35034666177387,-164.4060589421942,121.81310154096934,-16.886975902694083,179.82574241173342,11.62891774631183,-138.7675307911633,107.07609080543361,-149.38224688946943,43.51432261822143,-65.39100056191873,-66.16547524720346,-77.84292315009901,-176.55842342429816,-178.5513537604646,-171.3919681138499,173.35507921169526,145.6810203807344,60.42454869952074,80.15552623264946,146.16342387466452,83.99728826864005,-20.595537935079278,-18.604645683042428,10.242582490930491,-15.109294092639733,139.9118897215693,131.0789932425708,80.28134595499931,150.46824812806932,-129.26188669749138,14.858132531542184,17.090980307971826,-97.32810235691143,40.219796077157035,68.90139308527526,141.18223000905272,54.10643764200744,142.58318063765822,54.36552389618379,-146.66562502793965,-41.73882260292414,-8.66352336461331,112.9789607814141,2.975531503683888
NOT_AOI Relative Saccade Angles,124.75169931612065,136.03393255042812,73.95348711338673,84.9500344254661,112.12860100416646,57.62189663106069,135.32841202217418,169.3848037363543,144.98175096245498,48.83928289027595,53.51858348893577,101.83615145475201,74.70710272538766,55.35168978845272,102.60836696365331,152.38530656888742,4.767923627898861,125.11474223746507,25.03309669279332,49.50870018467826,89.93061669844222,67.55881332925432,26.97418958291867,109.5491526942208,142.05313170148847,161.6549921779068,100.51946108912328,125.78244291630806,155.7676466929427,108.29577427669611,80.80628219397471,55.597079391222145,176.59516251442162,54.91802801515083,4.552148165027998,131.58691762378382,152.9394786152196,141.22220510495885,178.1368872318406,109.38850176727318,106.32918880458374,119.80030806663066,47.1444339103315,138.10022045931584,155.54861492864976,126.26106762883302,2.8492960070803215,138.15045102304651,135.09265214527812,173.8541207829474,155.756405603968,106.2191604831635,41.29992255633658,16.712718314427473,11.803175334578437,29.603551462524905,65.84362159659686,76.45833769490304,12.896569507690865,71.09467681985986,179.22552531471527,168.32255209710445,81.28449972580087,178.00706966383353,172.84061435338535,164.74704732554514,152.32594116903917,94.74352831878636,160.2690224668713,113.99210235798496,117.83386439397555,75.40717379628067,178.00910774796316,151.15277182602708,154.64812341642977,24.978816185790937,171.16710352100145,129.20235271242854,109.81309782693002,99.73013482556068,35.879980770966455,177.76715222357038,65.58091733511674,42.45210156593154,151.31840299188175,107.71916307622257,92.92420763295476,91.52325700434922,91.78234325852559,21.031148924123453,75.07319757498448,146.92470076168917,58.357515853972586,69.9965707222698,
