,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
NOT_AOI Saccade Lengths,38.39443894382222,22.452812949919387,17.866706743837817,15.072538068933449,12.449733278239117,32.97645301587177,52.720421180455396,36.1083290338176,12.64122310729532,9.58451138345347,2.418646845273427,14.146319800787428,11.66405724370651,27.67852126079771,106.57865873255402,76.32070851140692,71.70140315168459,84.39138319540149,68.25882799496924,24.024571479132728,18.26910661900783,13.30143565797702,23.78412401189942,8.74999257120951,22.884921902699848,6.767627910510822,5.956638129518638,5.158475150120051,15.05904935085432,12.48802433260197,110.4858856817066,41.280220028667536,23.86226930874897,166.37422341109254,141.73817831705261,15.503322428187667,13.969978340878193,9.601581572146591,30.35403888871494,32.821039453252965,161.79915599493248,66.00175577040145,76.01325833401793,106.71854524740868,115.49090764604813,77.75816376043701,40.10459065600713,23.351687363172363,19.265095435519243,10.939545378594321,10.784281455106642,26.188906338497645,20.92155233160752,20.268065882568962,13.508243421817962,8.173706762911078,112.22090303614064,128.64013163511214,46.39468741316018,62.86366462177388,113.15661878713588,69.85735071110722,90.75596430082763,26.66966888163861,164.91589246541,180.06230330489853,117.11242210412837,38.87307107392632,28.084521744519012,19.035795992836817,11.26663590112926,5.634739568100625,2.3284000733328956,3.51996919192916,5.548455119807468,6.974284569956465,7.78607031925295,375.01544576744766,177.02199790257876,107.430094625974,32.932995351914556,34.88823356389477,6.1399849414221634,10.463261834195896,18.03133917146447,9.908667385939616,9.796672625823396,9.325805439909221,8.608620848879795,7.737993571927941,164.27162884682315,72.65188616816978,31.736409864058817,189.5583523702728,69.79989374669935,121.92839754505975,160.76754465170333,146.72808536419117,103.02308565424778,80.54529437461998,69.28539314600884,44.06628477318918,15.446654390052371,44.79291623351144,39.56586567098392,108.9781343873443,135.88487000013185,40.051250054805315,101.14831234594871,39.37765836206636,50.23209059987973,10.900760818124901,5.287205894338943,15.17858309036579,16.03154571500634,6.470931133550887,45.67739025936024,46.97621940266128,61.212174502021156,20.731138797155964,23.2176407285133,38.88461363006151,31.68410869074708,48.54525746037202,31.08685049623442,43.75913947872605,43.78527437134387,17.222818365265177,15.030898552852422,12.844126974857888,19.35082666536921,12.684500876813601,12.509621617633625,7.163873404912416,97.969358816663,142.5247502023559,56.49957874703793,44.69717371342792,34.21675829311249,17.505753184712532,18.93602857058345,16.15041142464183,15.779118408273876,15.238802458804242,14.45303399932575,13.438456263426977,12.250397249791645,10.954969734222145,9.61556685622408,8.286831054981757,25.421405444601376,15.51531289633904,14.112921666273351,9.074199882492533,173.161503978116,101.1312352483765,76.77392192916572,68.47924441893119,40.29316418711989,17.62898448416671,34.45842465837052,29.019268883463646,47.36188457555592,25.13497453277359,37.888812558708196
NOT_AOI Absolute Saccade Angles,-22.600592098161187,-35.68739210875289,-52.46541255332839,-55.47338928014173,-58.660526171133036,106.16265714718644,108.16661478158822,111.09027834246623,113.86425679304348,116.20140202266269,-57.530398460306166,33.46460692371433,28.97873722032692,-152.80739981651837,114.51211111028424,114.69070321938334,-24.603164676814043,-15.98111597298603,18.157439544203353,17.0396011831284,16.10547261720808,14.859822525973684,-161.28603940005584,148.94007742416255,-158.27810490314621,143.22136933809588,148.1692687640693,152.96130187883927,94.53008336295697,94.92114603200514,91.91237843680565,91.96726717058579,105.21752345340907,-99.4418387446333,-102.25931447210188,-77.35722332191534,-60.41718272739049,-47.02842190314275,-96.15606997972246,28.118689910925507,-92.0418123552344,-102.02444307899039,176.89359381657405,109.3236965711562,120.32460297868843,101.94215853920215,132.12901401190945,54.46721709447225,8.484717153599195,-7.792737864932326,-16.503075938637448,-15.489312412096435,-24.461857790205393,-19.710460414441368,-26.637028327310517,-36.017604973992704,65.36657935945499,67.79752786038219,68.61332683895742,69.62097076399478,160.09724329478985,-156.6407609287168,-74.01305992963692,137.51476509472525,-89.93530795786617,-81.0179597684833,-79.35587772474167,-77.60426590777321,-75.97061435240805,-73.5072451542754,-66.9288914613129,-54.303529238636465,-2.9671635612796585,64.37162134734503,80.98411116043138,87.0993580768889,90.31218860421787,86.142517134779,81.34653082579868,81.01972163685767,80.62005660486012,79.87722356326675,73.50072568258696,-94.85464271045839,-97.0015209411419,-97.51718659852737,-97.72946566321342,-97.89598052036429,-98.03587968804828,-98.16035703783669,-143.4785944550457,-112.3080823741944,89.914751420655,-76.1162099965608,-36.4784627042478,134.63257295051307,86.74977607428278,-80.06059332693344,108.1154636756365,154.03645289718656,-81.49069219732078,96.82317503503909,146.09470261353567,142.64422710067396,13.347635754619203,101.58878734461223,76.54930512262612,54.20040536300607,69.84384287834807,97.29637151332888,104.05228274592211,111.53987763101374,132.44456335151557,-56.35523229729478,-63.52468625554157,-149.6522360442274,-52.21345421324859,-62.37928746332895,-55.84740328202377,162.85774299889627,-54.80715409453695,-145.70917615913186,-122.66770003778385,-125.9485917035001,-130.93288569454216,101.12944940117225,90.71740195834576,-100.54894821204216,-97.8925969429417,-95.26293857651316,-79.71493406399355,-72.32765237653773,38.25572583950079,26.09167007525457,69.72952381512104,74.38789073497708,79.09088324658543,79.65475161891206,80.34214413204175,53.68201189136857,86.12961768146529,-46.771707199189876,-57.32809539127031,-65.56955592386481,-72.20419894409449,-77.75486201450306,-82.58774858334066,-86.96366767795101,-91.07907739519715,-95.09546225566994,-115.79480856575391,-64.4934038074235,112.79872294830002,-107.97359966052886,-76.75654247583404,-94.18402261079002,-86.7275431333906,-91.75675795565701,-93.6411299681748,19.474771298915048,23.863233024488164,-92.05974743818145,-53.02978715611071,55.36433873648094,-56.965122704493865
NOT_AOI Relative Saccade Angles,166.9131999894083,163.2219795554245,176.99202327318665,176.8128631090087,15.17681668168054,177.9960423655982,177.076336439122,177.22602154942277,177.6628547703808,6.268199517031155,89.00499461597953,175.5141302966126,1.7861370368452776,87.3195109268026,179.8214078909009,40.706132103802624,171.377951296172,145.8614444828106,178.88216163892506,179.0658714340797,178.75434990876556,3.8541380739704754,130.22611682421842,127.21818232730878,121.4994742412421,175.05210057402658,175.20796688523004,121.56878148411771,179.60893733095185,176.9912324048005,179.94511126621987,166.74974371717673,24.659362198042356,177.18252427253142,155.09790884981345,163.05995940547513,166.61123917575227,130.8723519234203,55.72524010935204,59.83949773384011,170.017369276244,98.9180368955644,112.43010275458215,168.99909359246774,161.61755556051372,149.81314452729265,102.33820308256279,134.01750005912695,163.72254498146847,171.28966192629488,178.98623647345897,171.02745462189105,175.24860262423596,173.07343208713084,170.61942335331784,78.61581566655232,177.5690514990728,179.18420102142477,178.9923560749627,89.52372746920493,136.73800422350664,97.37229900092014,31.527825024362155,47.4500730525914,171.08265181061716,178.33791795625837,178.24838818303152,178.36634844463484,177.53663080186735,173.4216463070375,167.37463777732356,128.6636343226432,112.66121509137531,163.38751018691366,173.88475308354245,176.78716947267105,175.83032853056113,175.2040136910197,179.673190811059,179.60033496800247,179.25716695840663,173.6235021193202,11.64463160695467,177.8531217693165,179.48433434261455,179.78772093531396,179.83348514284913,179.860100832316,179.8755226502116,134.68176258279098,148.8294879191487,22.22283379484939,13.969038582784203,140.362252707687,8.888964345239147,132.1172031237697,13.189630598783761,8.176057002569959,134.07901077844997,55.52714509450735,1.6861327676401237,130.7284724215034,176.5495244871383,50.70340865394525,91.75884841000699,154.96051777801392,157.65110024037995,164.356562484658,152.54747136501922,173.24408876740674,172.51240511490838,159.09531427949818,8.799795648810335,172.83054604175322,93.87245021131415,82.56121816902117,169.83416674991963,173.46811581869483,38.70514628092004,37.66489709343322,89.09797793540513,156.958523878652,176.71910833428376,175.01570600895792,52.06233509571442,169.5879525571735,11.266350170387918,177.34364873089956,177.37034163357148,164.45199548748036,172.61271831254416,69.4166217839615,167.83594423575377,136.36214626013353,175.34163308014396,175.29700748839164,179.4361316276734,179.3126074868703,153.3398677593268,147.5523942099033,47.098675119344854,169.44361180791955,171.75853946740548,173.36535697977035,174.44933692959142,175.1671134311624,175.62408090538963,175.88459028275386,175.9836151395272,159.30065368991603,128.69859524166958,2.7078732442764806,40.77232260882888,148.78294281530518,162.57251986504403,172.54352052260055,174.9707851777336,178.1156279874822,66.88409873291016,175.6115382744269,64.07701953733039,140.97003971792927,71.60587410740837,67.6705385590252,
