,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Page Saccade Lengths,3.2434812955696186,9.272667137474794,20.620893139198984,25.09501660955725,55.64593777728127,39.815683973586914,36.867159813423214,88.31324295373638,120.95083324063083,134.81818414474162,43.5472886030086,40.326785884175074,62.45697514288107,97.21070743026559,85.68492026129076,56.62099032413115,114.08387022625968,9.963132493089407,21.207588170617708,43.18663360401045
Page Absolute Saccade Angles,-23.131465417673024,-177.91614021042702,156.9673364066454,167.73576545876023,154.58658734300815,109.47173441963643,83.1020275956365,153.50025933053743,103.07879307990126,-178.15795425344825,-158.13156433871498,30.017016721995503,-124.0824184961555,125.70041212898747,26.97080894951864,128.90098310883815,88.60511290823104,-135.2012994902551,-24.46271435609266,-43.009128289876244
Page Relative Saccade Angles,25.215325207245996,154.88347661707238,169.23157094788513,166.85082188424795,134.88514707662827,153.6302931760001,109.60176826509907,129.57853374936383,101.23674733334948,159.97361008526678,8.1485810607105,25.900564781849017,69.78283062514294,81.27039682053119,78.06982584068051,139.7041297993929,43.806412398486124,69.26141486583758,161.45358606621642,
