,0,1,2,3,4,5,6,7,8,9,10,11,12,13
NOT_AOI Saccade Lengths,29.282514246610173,80.28621059393812,39.815683973586914,36.867159813423214,189.8408030903744,134.81818414474162,43.5472886030086,40.326785884175074,67.83728398196874,56.62099032413115,114.08387022625968,9.963132493089407,21.207588170617708,43.18663360401045
NOT_AOI Absolute Saccade Angles,164.6918778589759,158.66407620986442,109.47173441963643,83.1020275956365,124.09002742879362,-178.15795425344825,-158.13156433871498,30.017016721995503,103.08779476198664,128.90098310883815,88.60511290823104,-135.2012994902551,-24.46271435609266,-43.009128289876244
NOT_AOI Relative Saccade Angles,173.97219835088856,130.807658209772,153.6302931760001,139.01200016684288,122.24798168224184,159.97361008526678,8.1485810607105,106.92922196000887,154.18681165314848,139.7041297993929,43.806412398486124,69.26141486583758,161.45358606621642,
