,0,1,2,3,4,5,6,7,8,9
AOI4 Saccade Lengths,62.66631466660726,61.06853382532196,72.61544828808971,137.44476144743936,72.00881285176781,18.129755828822017,25.694245897388686,48.49068726458598,42.378034593073494,55.868251358650454
AOI4 Absolute Saccade Angles,95.4619739719048,-102.66001906622965,107.0939456367712,-30.103223699576827,156.8039283573393,160.40868590987046,32.065816300842435,-94.32924380204932,24.652121257554334,90.35032748186022
AOI4 Relative Saccade Angles,18.12199303813444,29.753964703000843,42.80283066365197,6.907152056916109,176.39524244746886,51.65713039097201,53.604939897108245,61.018634940396346,114.30179377569414,
