,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
AOI3 Saccade Lengths,46.535770321160356,48.952110854534965,51.71362180445417,65.43407801559451,84.23115181626487,81.68920538795581,46.92407455418365,42.069838726733245,79.39258426334204,11.294128998618694,34.50682886318423,22.774962150430795,43.36057057390347,73.9570219582356,195.2579142285357,31.342304117745236,22.013905195970768,83.0985364559175,33.61762852172653,43.848981905087975,42.56734088887418,102.25916794714793,28.691713400426472,18.096790675868725,38.01537126179297,21.084370230224263,25.834396690286535,96.42906121928367,13.342790050733893,108.52840975519663,70.30072832515798,52.400547389298126,1.5064090814015534,82.43028615468114,18.413151071589287,36.29991014365577,36.48544636264011,90.09549273023308,48.688502523474135,11.558417851750502,29.131850227854592,27.945614696941625,29.254007425621516,11.789872508679656,15.567128828868317,8.420606378035902,82.4038394682454,21.043860564293958,293.97918275041354,10.528438060315665,13.67917277433032,43.4777919737518,82.25117407620078,62.32454019707008,185.98676989646364,27.166929531625076,25.97637245093408,60.21818816442428,44.86799691105402,24.303520479779877,35.490939978256485,35.29372757495867,32.701263066520305,80.99995386782172,54.899879845826064,37.40731991241647,31.514937016215484,359.3727895580032,129.30326003034094,62.97912449039456,44.66133300088582,47.43092555642583,44.139967646417695,27.142075377793848,62.9072234968187,36.00743537067949,34.95285508255639,54.30215156468209,54.75263708920472,40.30691975484212,51.17188137369284,100.30258066004335,58.82615839649041,46.49983741847894,53.07143041296013,53.41606322999357,14.464924070085557,12.877836080658867,33.74638428613838,38.59194766892927,18.54770921893248,52.64329962469069,49.785555591673194,23.401690033842748,35.400380399479005,19.1848983718505,5.759334926019399,40.94306448083186,21.498334092351264,28.42525352045642,26.498251898679232,23.06736100590899,32.175016989325655,45.765525237074286,30.863543023651122,3.1298371518899093,59.15260309530558,67.62028838324376,65.77518871461051,49.268287000168314,5.4401499392872115,124.61695474496915,32.699912906894326,15.331283571480077,43.62780197091759,21.386763501737192,72.44881010231202,82.2147561984796,46.63523408804357,41.933862861708185,68.92788510533009,19.444745889030692,61.01110077298758,37.82270673645711,39.099630209709325,45.8279004010001,6.587223441891357,3.3105551702483993,46.75835243713701,47.90795578749901,17.675655234040846,46.43113976437286,41.60291400911405,78.08375664217058,29.307822959290572,26.21123725761895,22.987757623308195,29.336247411756815,144.61644747425498,91.04332162599898,80.01960001337919,60.396873090382265,478.91706478654095,62.79239753213722,46.18706122433426,31.910131636478663,9.333132571035215,634.5443022295623,13.213646519828453,73.37570547283968,139.72226923132123,76.14220213249241,45.87556570073874,28.826165125632745,130.33496162645577,55.56615010415604,19.438828082258944,38.59950682335975,51.883313681033314,29.5409918586871,54.50800903934615,22.717456986254458
AOI3 Absolute Saccade Angles,14.318182549445908,-81.33451621850725,120.95244935905801,-170.02476438356587,0.7123581786017188,-0.36943884175729885,-4.349124531301202,-7.605896721677556,165.03662742920707,-168.26130589023387,-118.91676552622846,111.75592270808968,-104.33584836067494,-9.121598216581647,158.40564321261752,-38.21004827667374,-36.59588729821387,5.942655266362322,55.690752557311775,-120.12771043240879,145.77708849710243,175.94949237974677,-62.625937530014674,-114.98730555023491,118.2831715182205,-63.943102564642146,98.54008243202543,-45.17730672705818,-11.94660106094141,41.43908812570719,-65.299199914217,3.1152334966271265,85.34669539988325,-176.14812174407282,165.65213082521515,121.30809805429529,5.336365042072637,-29.927391712178746,113.4567521857839,10.968252313976725,-42.88305729661869,-14.66594401055695,-15.758395832932417,-91.99696468779655,-0.816726628470054,25.303195840002854,-3.1150230733131345,108.4310320287809,174.33076486836765,64.26843429807849,64.7875988987102,173.94075493877742,-126.32788430631908,-11.48531243393173,1.7882531031996927,85.5096227964723,65.30765431009233,-116.52866355466045,121.5010445390885,78.50492185566605,-113.14151518695945,109.2302350441533,-9.029041334951044,3.7205372422644283,6.336751609084808,17.829906932285855,-48.175960664571555,-174.7352980850812,14.929502658411412,-46.67901713170505,-166.5278856751294,56.76389654437665,63.40289205805876,-21.92930827664841,-50.117525485830804,149.9345977559586,-140.47810190079207,-162.7856335038666,179.10189254656157,164.07177642341264,-178.27049716058212,143.62025876298566,-83.22797788572746,-17.396372165734554,17.515914916629203,77.17776527386374,8.266553863563928,-79.09823661435553,-87.77827316964184,145.7464936212034,97.6123291236426,-8.9383640378566,23.91857565467758,-32.85546507410278,-38.42594509435061,-43.06896343888859,-37.882405025753286,102.80659327825609,-122.80468389918263,138.3125991767803,-20.2837938465997,-144.66138071011542,145.17563884915646,-134.6303383907034,-132.2653511538361,-137.23692671034078,87.51567159742847,5.699137822855025,-41.43632087120051,-31.377746326853895,93.36503788528344,178.6379231356362,89.7615503641276,-15.149108837916634,-47.951324972377094,40.61772394702412,120.58940225055777,179.59004556017268,-173.64829630733902,-20.889451103466673,-115.6321431551037,-1.6191009839383204,25.377899447953066,21.907382105264865,114.40191282258888,-4.679411798417298,-15.326309349891769,80.6885320307886,-172.44621278670294,-85.25721322920803,-125.86138507707243,73.81613880623553,37.948383980296214,-177.4653473405561,-72.81153442119856,86.80792154250729,-92.68008151701291,-169.58500366033178,3.778504630083967,-147.0003687422256,158.482809404067,157.59543292228392,3.140779379457297,-43.040963139220416,23.578365289647195,34.617129515476506,148.8752197132941,179.98107556482285,-132.36775331251118,-27.5496770295779,2.800705585762094,-20.57779468255572,123.28423648085857,-162.3902763307336,167.6129640887259,178.00885038365175,23.867141621053165,-12.780933729798376,1.5069838572302658,-169.82684687731398,-150.32151965171002,158.74154107160194
AOI3 Relative Saccade Angles,84.34730123204686,22.286965577565258,110.97721374262387,9.262877437832412,178.918202979641,176.02031431045611,176.74322780962365,7.35747584911538,153.29793331944094,130.65545963599456,50.67268823431815,36.091771068764636,84.7857498559067,12.472758570800863,16.615691489291226,178.38583902154016,137.46145743542382,130.25190270905054,4.181537010279448,85.90479892951122,149.82759611735565,58.57542990976146,127.63863197977977,53.27047706845543,2.2262740828626613,17.516815003332436,36.282610840916405,146.7692943338832,126.6143108133514,73.2617119600758,111.58556658915589,97.76853809674388,81.49481714395606,161.80025256928792,135.65596722908015,64.02826698777733,144.73624324574862,36.61585610203737,77.51150012819284,126.14869038940459,151.78288671393827,178.90754817762453,103.76143114513586,88.81976194067352,153.8800775315271,151.581781086684,68.45394489790597,114.10026716041324,69.93766942971082,179.4808353993683,70.8468439599328,120.26863924509648,65.15742812761266,166.72643446286858,96.2786303067274,159.79803151362003,1.83631786475276,58.02970809374893,137.00387731657756,11.646437042625509,42.37175023111274,61.74072362089567,167.2504214227845,177.38378563317963,168.50684467679895,113.99413240314257,53.440662579490336,9.66480074349263,118.39148020988355,60.15113145657566,43.291782219506025,173.36100448631785,94.66779966529282,151.8117827908176,20.05212324178939,110.41269965675066,157.6924683969255,161.88752605042816,164.96988387685107,162.34227358399477,141.8907559235678,46.84823664871311,114.16839428000709,145.08771291763625,120.33814964276544,111.08878858970019,92.63520952208053,171.31996344471372,53.52476679084521,131.8658355024392,73.44930683850082,147.14306030746584,123.22595927121965,174.4295199797522,175.35698165546205,174.81344158686468,39.31100169599064,45.61127717743871,81.11728307596293,21.403606976619987,55.62241313648429,109.83701955927184,99.80597723985986,177.6350127631327,175.0284244434953,44.75259830776922,98.18346622542659,132.86454130594447,169.9414254556534,55.25721578786269,94.72711474964721,91.12362722849142,75.08934079795576,147.19778386553952,91.43095108059877,100.02832169646635,120.9993566903851,173.2383418675117,27.241154796127653,85.25730794836296,65.98695782883462,153.0029995681086,176.5294826573118,87.505469282676,60.91867537899383,169.3531024485255,83.98515861931963,73.13474481749154,92.8110004425051,139.39582815213564,19.677523883307952,144.13224517406067,35.41373132085229,75.34618708064248,20.380544036294143,0.5119969404797888,103.09507785668113,6.63649170958425,29.221126627690456,125.48317814629259,179.11262351821688,25.54534645717338,133.81825748132226,113.38067157113238,168.9612357741707,65.7419098021824,148.89414414847127,132.34882887733397,75.18192371706672,149.64961738466002,156.6214997316822,36.13796883658572,105.67451281159217,150.00324041945947,169.60411370507413,25.858291237401435,143.3519246491485,165.7120824129714,8.66616926545574,160.49467277439604,129.06306072331193,
