,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
AOI5 Saccade Lengths,97.87404935501979,44.18327706410416,85.31086061408526,96.03417274670214,41.13274978557863,87.77010226404815,166.02128093139436,23.62851828439396,217.39425649488106,320.2002187323335,61.62958120303935,54.118878172479,90.75478232137773,52.67355220072442,10.649618081675106,148.27820588382008,100.69852789596199,55.89048200511677,103.18286988344936,346.6566590875982,274.3396324157129,44.7205752863829,30.425308184797718,62.175873765929765,236.4957663020097,79.01405302802367,48.02323292861703,57.815672783407955,29.1438353938408,15.531803247413938,23.667228423111396,39.79003828613732,10.967429415162357,88.7292532816078,46.381513305399146,128.8271639388018,32.632169741998375,17.982414658781842,3.7357244533349836,65.20889374333997,65.03889835531209,41.76042869940075,33.44238430821682,53.95453481848303,59.10866764077279,14.817516913639672,42.48732826963272,46.286427044980684,35.54559167288489,85.30832929058369,23.756270504271043,2.415532438368502,57.987071043477684,45.77339752703278,13.361631526092859,109.91868586065145,34.725624306725074,70.9556552830643,58.70557130404583,34.769782947728615,37.66341382270493,129.6576634034015,137.69688542904206,63.91558000690934,16.690488144918355,52.870964818713595
AOI5 Absolute Saccade Angles,-160.0187617413671,-155.06203288556722,171.69952294310644,160.86264840755058,150.5390709680617,-56.228717810500676,1.6077304651224098,138.7995106275867,177.78478958620423,0.6966248978557231,154.53244697583688,163.8119754644564,-151.82980085501686,-152.19419582614088,124.36912738142502,4.66545771478375,-12.069670892809969,34.45863189277763,-13.53378052564721,-178.238337517466,9.237779138335895,175.81376346044038,-117.41662669949106,-173.5631534217889,-175.76092685609308,86.01085871301044,-85.03060745080994,-31.047833991418067,55.56616063696504,158.4712564396823,29.538997173795828,-78.36107099134425,-154.69920016658327,174.23549889789314,-5.597579114210738,3.745545579966211,89.44331834220465,29.048900244816423,108.11102943256812,-60.67689194642992,176.6173846529942,174.01714577614953,141.14713736921757,-174.74073646520884,-171.90649468243103,135.66989696243544,8.78691737102044,23.665901768010084,-102.51089538145585,11.264957941096265,-90.43216066782642,8.776043979005708,-172.5242430035287,18.706917189595604,93.29399914509571,20.456627034690882,-132.29285968129966,-2.752028322416849,176.58809012290874,-27.136706317699094,-138.8047101246758,144.23521896668427,-150.63223798509367,11.924782705488687,-162.2703009554085,120.91389933744695
AOI5 Relative Saccade Angles,175.04327114420008,146.76155582867364,169.16312546444408,169.67642256051118,26.767788778562394,122.16355172437692,42.808219837535724,141.01472104138247,2.9118353116515148,26.16417792201887,170.72047151138048,135.64177631947325,179.63560502887597,96.56332320756589,60.296330333358746,163.2648713924063,133.47169721441242,132.00758758157517,15.295443008181241,7.4761166558018655,13.424015677895499,113.23039015993146,123.85347327770214,177.80222656569586,81.77178556910351,8.95853383617961,126.0172265406081,93.3860053716169,77.09490419728274,51.06774073411355,72.09993183485992,103.661870824761,148.93469906447638,0.16692198789611504,170.65687530582304,94.30222723776156,119.60558190261177,100.9378708122483,11.212078621001965,57.29427659942409,177.3997611231554,147.129991593068,135.8878738344264,177.16575821722222,127.57639164486643,53.117020408585006,165.1210156030104,53.82320285053406,66.22414667744788,78.30288139107732,80.79179535316787,1.300286982534429,11.231160193124325,105.4129180444999,107.16262788959519,27.250513284009475,50.4591686411172,0.6598815546744224,23.724796440607822,68.33199619302329,103.03992909136007,114.86745695177792,17.442979309417648,5.804916339102849,103.18420029285542,
