,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
NOT_AOI Saccade Lengths,1.2725391057988755,35.15170371199192,65.57680459783172,109.19031368731014,35.19008219925996,107.93444114118645,94.12716644995764,86.03521249376467,144.8111630370569,73.73856666683153,57.794868202934964,118.42644422152546,93.12487533506905,144.8171371416338,50.35939650139915,35.49191414878805,103.01789162464388,54.6974377244518,119.72635541712151,46.548253145255785,112.67547273219306,101.39499244573773,85.75389927799279,34.38722610902812,38.301386934346326,155.4803689411475,115.29569476683514,52.072381458087555,21.83067922538747,36.333672394000295,188.5886828347174,144.6206080266142,166.888646638797,52.3184420231296,113.6185337471574,130.81866560963257,462.17504144697983,57.14004175582982,137.93713312499267,89.46518983693042,67.895240330334,75.0013011711555,34.22358057649984,29.821262743397856,32.548638604942234,9.571057286656348,35.14785522527274,61.72761462748198,49.87920355886118,41.86050603937679,106.30083439613337,59.32684577535367,76.88800185668916,96.09654102860158,67.23059572778483,118.75414267746498,89.81305582219674,79.53930299188148,27.01903152299934,25.96567930882218,120.23051297726364,51.946377383649136,37.730213476736644,14.664506818507638,190.35642292850773,135.00249684247035,100.42553435984962,49.3553517834149,28.66704473379094,34.5556451232725,19.71554168055491,21.74658010617876,18.624314559203725,80.8134508754656,27.30703136655927,71.05655650315718,51.953337391645626,33.571894386760796,22.864198567573588,33.0543592488168,55.55588879909369,77.76682806925484,14.579515652826535,62.83032044750279,113.23802098029162,35.18514167674967,21.24210157962846,16.159157075893642,17.523836992601186,41.08145839411385,128.0361755243861,50.950047814102064,24.304745306843078,6.011060829798533,147.87519306318043,291.9509253952889,310.53247879229804,171.82594438730547,41.89860804728425,109.41134901962434,130.6633789466728,120.0394217118516,77.46500269962803,30.0571833959825,70.72871564011356,100.59711565692479,123.2377059776883,69.93874894828045,47.607817011574376,34.5814465990157,19.095850625822074,37.123301458277446,26.02965046515232,32.25846070025581,10.695556876535479,66.16753252484902,63.93184459879481,42.622297923707976,27.419487421619664,39.72034340523932,9.824688694521898,22.962510603475035,122.4911064816779,67.86603719182712,65.34984742030294,45.160327899556684,11.821263086308074,29.794344733840152,19.63122606092472,18.577794777787418,33.40644229412992,112.28060290748321,74.6894780258882,21.570005896348057,78.39186255400341,46.23818766899198,120.76688816632156,58.836045639039696,57.12079766794208,27.624403552963344,42.70722747787445,130.5258360165008,68.30321166947019,64.39776580262746,9.219691903053656,45.97362037510358,71.64905217474363,34.98794522865531,27.567101855799613,28.97772476824196,66.25789916017314,42.79604301591856,31.517048637787163,19.11574800390726,48.4172088318754,45.12585089722592,17.417607962306707,36.4944205469226,38.53472619938011,58.153132382719896,111.74967903774714,78.09043689745161,54.5312349169191,36.65266081205159,40.405323241275,9.015190865824684,99.88795459378512,52.90374961763543,54.82269100763606,38.38249163001547,14.943877721437847,24.887888368520553,15.734762204081788,17.317116028636377,28.053131280734906,22.720538611019823,80.31108617518433,61.735407391755295,46.882947784499024,20.288646533452308,14.135766154634943,36.79960624278332,44.01434129954189,137.5297070736348,36.28070424810633,41.172835215923776,48.66562588266346
NOT_AOI Absolute Saccade Angles,159.16774240656082,-156.7385524665684,-164.8562433402222,-113.81958662364742,-153.63514874995693,165.76652662789334,-154.40764684475369,-99.23768534873183,109.78630713255771,125.61350798918706,-109.57232295238917,136.0673937646328,114.77195788610369,110.09579077421559,-25.13553504404493,75.063272948446,-74.95490115799535,60.031946912442415,-53.42536988120941,77.69007706812874,-97.92910756009215,86.40954787839046,-93.35182672684536,43.95601647747151,-79.83771236561965,-50.775018877417324,-99.97349862906015,-79.9900458821824,-25.666616653114243,58.88142223684052,55.2850257170754,102.13277890824098,83.81838089941499,123.05036867509946,-140.3381461608699,-44.8900147613406,-84.45882810252597,-97.024808203065,-65.063503420684,-51.920000606264054,-71.19830209571045,-94.45460580594548,2.873076861439471,14.733053335857452,178.6507741171938,-173.5913734968044,65.4158959588152,-77.0975664711007,-77.70852218309973,-123.36566739864752,112.0141262716654,162.95166808371914,108.578397575613,102.96309467303828,43.886056614998786,49.033146549398175,86.72752059849314,101.28703393620823,101.01149699744623,-1.2895326040854866,111.05284408811596,95.31511260364553,73.14697156661231,-144.17223237393358,-77.55752744715252,-80.71887003070864,-57.15591123423306,21.43470923091265,49.48607520165866,155.9323106151131,-142.55399431206618,30.172203149489306,33.62983641347506,-1.835041035197213,-23.05351371911554,-32.48698479125418,161.44244698570367,126.73454052427492,-27.27350165799537,105.71388994276948,103.89457335842187,102.8537373285471,137.2043687655479,-160.3715870205483,-101.08495789068644,-115.28218060523177,-8.596477596415662,-21.41051166423991,58.51533631967224,44.794569957414275,66.70361792988159,28.271104079076075,0.9967506779854877,139.55951133947045,115.6108855519158,174.68775325392605,175.6859130749018,163.22845983663578,-9.9394163532873,-167.95948510464763,-10.141500296113959,-22.274678182617595,-12.020631286951629,-25.191433141362303,-60.632853796380104,-46.10975407635037,-78.13216690763363,96.15969638002318,83.10423848824534,41.50249180775997,-4.990400952420549,-90.32395248720873,172.18920175573462,120.73135922890712,-60.94700479607706,-87.33533864735092,-88.89030217539853,-87.39862148175294,120.60158227771578,17.146573864302955,-115.85630033853472,-161.23454541680965,146.59221043598953,159.92470353433825,171.7904519661784,120.2044895375428,101.6415778549301,132.6080725000448,-161.52606450741243,54.78436721296456,-34.54508651651337,48.956642209548626,-122.47328339001263,6.475931054962298,64.2101060711599,151.08665051481623,-132.60032271200507,-56.62939493563491,-45.23357711843498,99.50573832132224,91.92235591272603,36.6250092939383,40.73020244070264,-75.96660435143134,75.67023325470636,134.04326747513073,126.93745449795674,173.30938599481718,-169.95324908121555,-155.7372794600273,142.15557333518876,-123.99223200307974,-107.69981697234319,-91.2155726057908,-85.43339308923454,-148.16178412426385,-10.970648003919463,58.36793817705744,74.37600202011338,77.18616508958613,46.19699078935945,70.0696177250902,86.8787814096577,-174.98874653142525,-92.93351568876757,-72.25169019868073,71.13627079031032,53.840694943350904,164.75598775414454,-107.19038886950955,66.07945824299537,-99.43614601727327,-143.01905753755528,160.49534310609502,102.35784565673849,67.43030313456455,94.26885292586154,58.34781235171598,73.73010603067601,9.81597026912965,-1.1964073542461402,-129.28758746706083,-153.18613563585157,-79.69667644149823,-3.9790054384790534,-109.94449293838792,102.48528530736189
NOT_AOI Relative Saccade Angles,135.9062948731292,171.8823091263462,128.96334328342522,140.1844378736905,139.40167537785024,140.17417347264703,124.83003850397816,29.023992481289508,164.1727991433706,55.18583094157623,65.63971671702197,158.7045641214709,175.32383288811187,44.768674181739506,79.80119200750907,29.981825893558653,45.013151929562234,66.54268320634819,48.88455305066185,4.380815371779106,4.338655438482601,0.23862539476418115,42.69215679568313,56.20627115690885,150.93730651179766,130.80152024835715,160.01654725312227,125.67657077093183,95.45196111004525,176.4036034802349,133.15224680883443,161.68560199117402,140.76801222431553,83.38851483596939,84.55186860047067,140.43118665881462,167.43401989946096,148.038695217619,166.85649718558005,160.7216985105536,156.743696289765,82.67231733261507,168.14002352558202,16.082279218663675,172.24214761399816,59.00726945561958,37.4865375700841,179.38904428800097,134.34285478445221,55.379793670312914,129.06245818794625,125.62672949189384,174.3846970974253,120.92296194196051,174.85291006560064,142.305625950905,165.44048666228488,179.72446306123797,77.6989703984683,67.65762330779856,164.26226851552957,157.83185896296678,37.319203940545876,113.38529507321894,176.83865741644388,156.43704120352442,101.40937953485428,151.94863402925398,73.55376458654557,118.48630492717926,7.273802538444525,176.54236673601426,144.53512255132773,158.78152731608168,170.56652892786138,13.92943177695785,145.2920935385712,25.991957817729727,47.01260839923515,178.18068341565237,178.95916397012525,145.6493685629992,117.57595578609617,120.71337087013815,165.80277728545468,73.31429699118391,167.18596593217578,100.07415201608784,166.27923363774204,158.0909520275327,141.56748614919448,152.7256465989094,41.43723933851505,156.05137421244535,120.92313229798977,179.00184017902427,167.542546761734,6.832123810076919,21.979931248639694,22.182015191466363,167.86682211349634,169.74595310433403,166.82919814558932,144.5585793449822,165.47690027997027,147.97758716871672,5.7081367123431805,166.94454210822215,138.39825331951465,133.50710723981948,94.6664484652118,82.51315424294334,128.5421574731725,1.6783640249841645,153.61166614872613,178.4450364719524,178.50831930635442,28.000203759468715,76.54499158658717,46.99712579716234,134.62175492172506,127.8267558527992,166.66750690165128,168.13425156815984,128.4140375713644,161.43708831738732,149.03350535488528,114.13413700745723,36.310431720376975,90.67054627052207,96.49827127393799,8.570074400438758,51.050785555025094,122.2658249838024,93.12345555634369,103.68697322682128,104.02907222362987,168.60418218280006,35.26068456024279,172.41661759140376,124.7026533812123,175.89480685323565,63.303193207866016,28.363162393862286,121.62696577957566,172.894187022826,133.6280685031396,163.26263507603267,165.7840303788118,117.89285279521607,86.14780533826848,163.70758496926348,163.5157556334476,174.21782048344375,117.2716089649707,42.80886387965563,110.6614138190231,163.99193615694406,177.18983693052726,149.01082569977333,156.12737306426928,163.19083631543248,81.86752794108294,97.94476915734234,159.31817450991315,36.61203901100894,162.70442415304058,69.08470718920636,91.94637662365409,6.7301528874951,14.48439573973135,136.41708847971802,123.51440064365025,121.8625025506435,145.07245747782608,153.16145020870303,144.07895942585446,164.61770632103998,116.08586423845365,168.98762237662422,51.908819887185324,156.10145183120926,106.51054080564667,104.28232899698082,74.03451250009114,32.429778245749795,
