,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
AOI4 Saccade Lengths,36.6805042217215,69.60411788344035,113.60124754927375,7.440452886464451,25.352051685249897,46.429460365445635,125.38151999249754,196.78978833704497,100.30210765298281,56.71224112995811,26.940587777959838,80.31738446316648,39.899627770317494,15.20491803715413,24.78910098930805,81.74336756669713,63.11423696469547,58.7936770019658,10.936071679416159,19.329152677741263,13.706563080407008,13.68187470337665,46.27212974934475,42.30942101022051,37.34482513869784,34.938762355680396,42.45304943758343,19.9345900135726,56.96297000257117,55.26335568088278,25.284371457205314,46.716340254542295,44.561874192284876,10.694380049909608,10.861108612577166,27.896299313329685,15.4258815137337,22.542779091221806,47.89363558924879,73.58258191478076,67.27097264581299,25.925119299285083,14.534549972185205,55.73789015957322,42.88632631441748,16.816531337347428,61.651368269743614,31.64181168983154,17.302270753314012,81.44267969576862,40.948460813782795,33.72695975280355,62.90007227335305,234.8922597438442,3.20354743792602,209.44046641499904,56.789145263492735,17.51644544301832,22.379625387729774,27.484334870219474,69.36266187067913,46.8470714530353,58.75984169079042,3.887828951983711,30.819864320787282,27.26683441240146,8.142318868094247,11.77789286551662,33.559285993630056,22.295701239374896,29.724526589069427,16.930388300886957,93.0781203192471,33.722401363450295,27.98949046290454,31.552845096223606,44.98126777825433,14.41653380443187,5.29411868633195,111.58519256551267,36.27205896100118,75.3942080159937,10.97868129946083,51.49359121911281,13.901032498237727,29.29420954795724
AOI4 Absolute Saccade Angles,59.34027508937378,-34.50339872660913,3.6113846043158926,-28.92603114289873,-53.62892584459023,136.57201223503426,-2.165387351847869,-172.06751879352996,1.3897643389767242,119.89169510280082,95.98453437103588,-64.12394298843788,129.70488785288313,38.99557956900682,-111.0724879410371,-179.1711142232638,155.09358162514349,174.54784903001084,-93.09798016522143,50.05526146213932,33.791616069496655,56.109105941645964,-85.59696585245005,-24.43267981884677,-7.107858803751579,108.1257044352274,-90.31251192181762,169.2166481663095,87.09502712166409,-71.46377914759366,118.56482276034984,89.5690159542629,-12.292834772389526,-141.70119844441894,97.62802663795249,-80.44950804961711,-51.112103639927284,-122.47177229903632,156.05547238035211,-151.06654226297317,54.696436681175896,-33.00752826050421,112.03488089904933,-134.17073246051046,83.65269232663017,178.1027083082342,3.6794519977084024,-175.1157582911194,-47.02762244043805,-26.551911431806396,65.9830651668224,14.445444962857488,-46.351200921771074,162.89137707490153,128.0144931869983,-1.2064169028123726,-109.97621394753656,-151.74903667877763,130.48414548472863,-116.29368582928439,-177.05975152865838,5.153282149921722,75.48678328517342,72.35317535602918,-101.22067381576593,-94.1292095929113,-20.67940248654193,85.45679889559267,113.20169226598911,159.60932716615616,-88.29952312056345,-174.60714154017543,19.143049138496032,-112.40562453412197,-97.33151329914315,66.81231474171909,129.5848078858917,53.36766651548262,115.0792182939186,-166.04242111967082,-31.835500744916356,140.65930753429726,-79.64290364053775,6.184267671283451,-40.259555830525045,14.031871165291994
AOI4 Relative Saccade Angles,86.15632618401708,141.88521666907496,147.46258425278538,155.2971052983085,10.200938079624487,41.262600413117866,10.097868558317918,6.542716867493325,61.49806923617591,156.09283926823505,19.89152264052627,13.828830841321022,89.29069171612367,29.931932489956107,111.90137371777328,154.26469584840729,160.54573259513268,87.64582919523221,36.84675837263926,163.73635460735733,157.68251012785066,38.29392820590397,118.83571396639672,162.67517898490482,64.76643676102103,18.438216357045,79.52916008812713,97.87837895535456,21.44119373074226,10.028601907943507,151.00419319391304,78.1381492733476,50.5916363279706,59.329225082371416,1.9224653124303992,150.6625955903102,108.64033134089098,98.52724467938842,127.12201464332529,25.762978944149083,92.29603505831992,34.95759084044648,66.20561335955979,37.823424787140645,85.54998401839595,5.576743689474171,1.2047897111722006,51.91186414931866,159.52428899136834,87.4650234013712,128.4623797960351,119.20335411537144,29.242577996672598,145.1231161120968,50.77908991018933,71.23020295527581,138.22717726875894,102.23318216350623,66.77783131401297,119.23393430062603,2.213033678580082,109.6664988647483,176.86639207085577,6.426150828204888,172.90853577714537,106.55019289363064,73.8637986178654,152.25510662960355,133.59236509983293,67.90885028671963,93.69238158038803,13.750190678671464,48.45132632738201,164.9258887650212,15.856171959137743,117.22750685582741,103.7828586295909,118.28844822156402,101.1216394135894,45.793079625245554,7.505191720786419,40.30221117483497,94.1728286881788,133.55617649819152,125.70857300418295,
