,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
NOT_AOI Saccade Lengths,14.364771463606294,41.297269260155325,23.313152544084936,18.17135424877426,14.779216578367995,11.455060029098128,8.736952114075516,6.617398147420697,128.43848914633935,199.8208940099821,22.374789952520366,40.85809789454283,62.67764384479695,113.17735355564118,64.61116469204892,26.83541286838454,67.68995742801539,42.73609720995663,43.190788528001725,35.24417346346367,54.33293307318905,31.01794865329708,125.946933903349,13.273413810560598,27.071422285850023,29.327948440351065,3.921728193088823,3.879842599909414,16.46042515483159,120.74547877208283,31.350221901852898,58.7365153250435,41.207486283794765,102.24034637758126,68.22808092752844,4.007159313243727,46.17302372130027,24.282961864623093,47.99966254250722,73.33066945585722,74.41133328896589,60.17347441230154,35.984197685029024,29.914403227500568,24.262151970987127,18.984785944198368,14.480566070437357,17.934321556606786,7.302209652436772,92.46343942946258,193.14937824686862,56.38574903629328,13.546969472966937,14.646878973416351,32.70622947850601,28.32094195242758,22.074761212628754,43.325838952443505,53.27134412309869,19.16002102398753,14.826857792931024,11.040473335475827,7.807933201490186,18.745730897096784,14.7400929858071,19.480294683363145,37.26004427063734,79.1130261718942,207.36920656124593,187.57786668135876,70.75714952807857,46.1091293264993,76.03021886097673,37.222441136532844,94.44079437348674,89.25703224844969,20.58574757375628,39.2448650927615,124.77862980401594,23.497943385392144,11.296157102424587,6.27655385546749,21.249667176896097,8.050222675953467,17.391833671119883,34.13435570595325,31.995436201801727,13.79766922031919,38.84847096834355,30.5342085631113,34.89419369023668,86.02291433220542,42.319369560736895,51.66864362532521,11.011479024730422,13.597482284660094,1.9615150158659282,48.36899258128574,41.77622988237646,13.391343790264589,16.302348991409232,43.499871915537916,168.86402288786573,85.3178253269442,42.94753650793216,33.22304609438402,17.679010717057228,11.037985921266246,11.106717500062468,34.318222972616745,27.1014728621433,18.714839348484638,128.95004878987737,57.31771490202508,19.967122237636246,28.01743379374365,21.559703374856298,25.002005348041777,15.48931318150092,19.028299427509175,123.26955296264254,29.22076095620281,83.98785286766555,44.13829582653368,39.831585699806766,35.34494034284872,18.609094490005955,20.782433097699613,17.273393945914894,10.568229510743901,44.67928321057909,20.14370996192187,17.22824471766228,24.056790182084036,68.39789023785107,72.16761280190468,28.845080429245122,52.79461788907381,61.42221709701029,36.77332933684466,39.51981694160533,23.27411975212247,17.811965416861003,20.018662916341633,17.175565108115773,14.448507618249968,12.30550471827354,169.46976893876555,124.13126947142602,85.6463183578683,90.25866624827066,81.13003831141422,67.82301182025883,64.07765839466748,26.951416861868942,42.421163891943564,19.58731589994974,20.74517104666113,18.28191377354431
NOT_AOI Absolute Saccade Angles,-133.21888908339835,-60.25566280936076,-59.34841979706206,-108.17284581175763,-97.89549627965619,-90.76448536036024,-81.84595563905306,-70.41852501223438,-21.40125948429504,-4.120829451712315,17.29007718890337,144.11697784604144,132.40601398804114,136.74971962638517,150.3708705127716,-141.84585793597532,-119.50871900572454,-74.56972648293588,-148.06514926263574,-147.70196286343602,-28.726954334255268,63.73204685201714,-56.93068398837083,-33.869701884545904,-67.05380343168301,103.16921330986463,116.85152868138732,28.097291430405996,-95.76382565598728,60.5375185637404,6.810042424490191,54.66282064486323,-150.71671233349764,-139.73941313436544,101.33888886758507,91.89019904043346,31.64284705288311,-54.48047412383015,88.62483044388203,-83.48934488736371,-88.56185656861312,47.469787019551866,32.98345050461832,34.292368889522805,35.72561211160488,36.751538229411885,38.72500508824138,42.889952938152874,56.18858897206959,-131.44597609912404,-160.49669670352418,-132.28526393639777,27.271791778803657,28.53958662567448,37.4129029110514,36.81094424143374,36.32483601326035,27.738901165695168,25.457251854779507,25.143749746104817,24.891820451708774,24.569041532874994,24.116521593983315,58.02476143253897,60.94267353190702,66.54341440903035,55.731189262704866,-175.64168888091734,146.1681243019994,-68.81221253480035,176.3160730154999,-52.59220376070298,113.05706465805284,-63.48879631312858,93.4362597769806,-68.3176650791745,-67.75847037824936,150.5449644353919,103.19693858209301,12.176210091191477,55.269008785484324,112.1680393640118,-164.45011354700256,32.072789071821205,-7.028500937566862,-74.36688908715588,90.15115663338139,-14.826905970267788,-22.95297926632625,145.56437086084023,131.88250193736144,101.08501815605558,95.5479738492473,82.98391257110741,115.40076393441883,113.25815135115997,-126.25908113112247,-153.62254318278636,-151.0323239916929,-32.773780143430656,-80.66695902515038,-73.37501951827859,-61.64170918970214,-71.48600152567879,-62.57151378658125,-61.60518871796909,-174.7730333096552,166.98734759121925,153.43750481497815,141.16548359509565,130.88145714433625,116.53024953948433,17.82736136128479,36.74638478366436,74.79027580815533,-7.387889624107724,-94.28645058391668,33.129064080713285,-109.492276895508,52.67960048354948,-174.4752177911227,116.79728038792864,-156.4826881908397,126.01452795595512,134.6496275386565,120.8061677817618,-136.47224277919446,102.96126402476803,-110.97013739848893,64.3901230686612,-102.64581800495205,-82.76120835705407,-78.15125045292766,-42.47100219077527,86.2566402296251,94.52106881959985,-93.26179357335874,-98.2484974693431,-98.65460084155676,-96.30818292210246,-68.30566884109419,-101.4444511886126,-102.15121741036126,-63.86380261581772,0.39319104267450267,4.344879167695787,12.487196959365269,84.89067882311514,86.11780311518339,-145.8257216349268,-131.70090161312692,-149.9677410220579,-148.94304781762145,-129.26630689669616,-134.90364426884233,-96.36181707563769,139.78166325085454,142.6253330957638,155.55871370018323
NOT_AOI Relative Saccade Angles,107.03677372596239,179.0927569877013,131.17557398530445,169.72265046789855,172.86898908070407,171.08147027869282,168.57256937318132,130.98273447206066,162.7195699674173,158.58909335938432,53.17309934286194,168.28903614199967,175.65629436165597,166.37884911361357,112.21672844874692,157.66286106974923,135.06100747721138,106.50457722030016,179.63681360080028,61.024991470819266,87.54099881372758,59.33726915961203,156.9390178961751,146.81589845286288,9.776983258452365,166.31768462847734,91.24576274901868,56.13888291360673,23.69865578027233,126.27252386074979,132.14722177962696,25.379532978360867,169.02270080086777,61.078302001950476,170.5513101728484,119.75264801244967,93.87667882328674,36.894695432287826,7.885824668754249,174.9274883187506,43.96835641183501,165.51366348506644,178.69108161509553,178.56675677791793,178.974073882193,178.02653314117052,175.83505215008853,166.70136396608328,7.6345650711936,150.94927939559983,151.78856723287365,20.442944284798557,178.73220515312917,171.12668371462308,179.3980413303823,179.51389177182662,171.4140651524348,177.7183506890843,179.68649789132533,179.74807070560394,179.6772210811662,179.5474800611083,146.0917601614443,177.08208790063196,174.39925912287669,169.1877748536745,51.37287814362223,141.80981318291674,34.980336836799744,65.12828555030023,48.90827677620286,14.350731581244194,3.4541390288185925,23.074943909890827,18.246075143844898,179.44080529907487,38.30343481364127,132.6519741467011,88.97927150909847,136.90720130570713,123.10096942147251,96.61815291101436,16.522902618823768,140.89870999061196,112.66161185041099,15.481954279462741,75.02193739635084,171.87392670394155,11.482649872833523,166.31813107652115,149.20251621869414,174.46295569319173,167.4359387218601,147.58314863668855,177.85738741674115,59.51723248228244,152.6365379483361,177.40978080890653,61.74145615173776,132.1068211182803,172.7080604931282,168.2666896714236,170.15570766402337,171.08551226090245,179.03367493138782,66.83215540831391,161.7603809008744,166.45015722375894,167.7279787801175,169.71597354924063,165.6487923951481,81.29711182180046,161.08097657762042,141.956108975509,97.82183456773694,93.10143904019105,52.58448533537005,37.37865902377872,17.828122620942523,47.15481827467218,111.27249817905133,93.27996857876833,102.49721614679481,171.3649004172986,166.15654024310527,77.2784105609562,59.43350680396247,33.93140142325695,4.63973953284988,12.964058926386762,160.11539035210203,175.39004209587358,144.3197517378476,51.27235757959963,171.73557141002527,7.782862392958568,175.0132961040156,179.59389662778634,177.65358208054568,151.99748591899174,146.8612176524816,179.29323377825136,141.71258520545646,115.7430063415078,176.0483118749787,171.85768220833052,107.59651813625013,178.77287570793175,51.94352475011018,165.87517997820015,161.733160591069,178.97530679556354,160.32325907907472,174.36266262785387,141.45817280679537,56.14348032649223,177.15633015509073,167.06661939558057,
