,Mean,Standard Deviation
AOI1 Saccade Length,41.054054268481586,62.35283044583072
AOI1 Absolute Saccade Angles,8.150790865023883,91.2721432213972
AOI1 Relative Saccade Angles,104.05028137738769,61.71965559290983
