,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Page Saccade Lengths,3.8872422407258633,5.665183485676206,20.47171821996649,19.08032721964369,20.333789558253482,36.31181537493623,78.77197381495537,16.995030858618495,36.2148326710792,12.280417049446847,78.23148655016871,91.91785469004246,25.63388954371363,159.69037106786067,46.57471921405806,56.27231007844266,47.19155455984372,33.3656963791073,35.88016971949523,108.59961599471927,59.32937970680934,52.50503309882068,57.68755390263912,63.58005666094868,38.88859217246503,91.14769636622604,39.70525144178967,12.875007214393385,20.18438711336792,18.603602955759225,39.21337372324695,48.11557463358782,79.07885646537052,42.72449816840732,63.37885720138631,80.3309151408911,36.29837532146285,53.55609738584527,72.75811559715623,28.892816368423762,73.36008844826803,72.57679039081364,14.411442366644119,64.76051700589437,98.58888534069004,56.38445597870964,29.226659366887606,101.38608768247089,12.276592642764752,48.01867760237995,62.43008539848249,21.514916530865094,17.0091311776219,42.33709650651931,31.06889618287953,50.25265611144281,79.13861162231434,100.18785863120401,46.50627685638082,114.35315838121376
Page Absolute Saccade Angles,-43.52211123688853,-54.17210969777504,-63.086418750663476,-106.8636573679017,70.80631461719886,-140.24507152701088,-106.20501196830317,-160.61425515374023,-144.80877112024547,-160.44873858199438,167.566057653273,-104.95030028038914,-46.131331641020346,99.61015528131632,-159.4245406721073,-56.49838006316858,-76.3613022214102,-125.61500312294127,-168.21904262712013,59.04558192898776,137.32583013568004,162.22614607061553,-89.24170946632618,76.08920803986484,-2.141423687947371,-7.674078044638236,-88.20320840637144,-142.5752731471904,158.2720008461081,52.79501675123429,113.13198015448489,-171.78575388351803,148.0271545254709,45.87603171973684,-93.76189580309146,85.49983438911984,108.58952531037755,55.188209081769266,-178.5005043362519,-59.42772637725952,101.3646414332039,147.02424219448696,-51.86678527776478,100.47187314563323,131.9399604766423,-1.1735873333710463,-40.47763695293738,11.887324655037553,46.86294147249562,22.579576206017993,142.27110947605948,-179.41878732499558,-115.0090015518874,111.83673367070642,-102.34204627247642,43.072191565374276,104.87834303957304,72.26789711207405,111.7271189099898,-123.28664959623507
Page Relative Saccade Angles,169.3500015391135,171.0856909471116,136.22276138276177,2.3300280148994394,31.05138614420973,145.95994044129233,125.59075681456294,164.19451596650524,164.36003253825106,148.01479623526734,92.51635793366212,121.18103136063121,34.25851307766333,79.03469595342362,77.0738393910613,160.13707784175838,130.74629909846894,137.3959604958211,47.2646245561079,101.71975179330775,155.0996840650645,71.4678555369417,14.669082493808975,101.76936827218779,174.46734564330913,99.47086963826679,125.62793525918109,120.84727399329844,74.52301590512621,119.66303659674938,104.9177340380029,139.8129084089889,77.84887719426595,40.362072477171715,0.7382698077887082,156.91030907874227,126.5986837713917,53.688713418021194,60.92722204100759,19.207632189536582,134.34039923871694,18.89102747225172,27.661341576601988,148.53191266899094,46.88645218998665,140.69595038043366,127.63503839202505,145.02438318254195,155.71663473352237,60.308466729958525,141.68989680105506,115.59021422689179,46.8457352225938,34.17877994318284,34.585762162149315,118.19384852580123,147.38955407250103,140.54077820208425,55.01376850622487,
