,Mean,Standard Deviation
NOT_AOI Saccade Length,67.8588093393974,37.497079506618135
NOT_AOI Absolute Saccade Angles,-10.074968453209236,111.08908768937954
NOT_AOI Relative Saccade Angles,89.72704639372076,47.37245435230076
